2021,"Ferrokësterite and Kësterite in Greisens Associated with Lithium–Fluorine Granites of the Russian Far East","Alekseev V.I., Marin Y.B.",10757015,"Geology of Ore Deposits",63, 8,0,0,0,0,0,0,0,0,0,0,0
2021,"Compositional Evolution of REE- and Ti-Bearing Accessory Minerals in Metamorphic Schists of Atomfjella Series, Western Ny Friesland, Svalbard and Its Petrogenetic Significance","Akbarpuran Haiyati S.A., Gulbin Y.L., Sirotkin A.N., Gembitskaya I.M.",10757015,"Geology of Ore Deposits",63, 7,0,0,0,0,0,0,1,0,1,0,1
2021,"Trace Element Composition of Archean Detrital Zircons from Jatulian Terrigenous Rocks of Fennoscandia","Smolkin V.F., Skublov S.G., Vetrin V.R.",10757015,"Geology of Ore Deposits",63, 8,0,0,0,0,0,0,0,0,0,0,0
2021,"Spectroscopy of Diamonds from the M.V. Lomonosov Deposit","Vasilev E.A., Kriulina G.Y., Garanin V.K.",10757015,"Geology of Ore Deposits",63, 7,0,0,0,0,0,0,0,0,0,0,0
2021,"On Mineralogical Studies and the Use of Mineralogical Information in Solving Petro- and Ore Genesis Problems","Marin Y.B.",10757015,"Geology of Ore Deposits",63, 7,0,0,0,0,0,0,2,1,3,0,3
2021,"Kinetic theory of instability in the interaction of an electron beam and plasma with an arbitrary anisotropic electron velocity distribution function","Sukhomlinov V.S., Mustafaev A.S., Koubaji H., Timofeev N.A., Murillo O.",13672630,"New Journal of Physics",23, 12,0,0,0,0,0,0,0,0,0,0,0
2021,"Adjustment of planned surveying and geodetic networks using second-order nonlinear programming methods","Mustafin M., Bykasov D.",20793197,"Computation",9, 12,0,0,0,0,0,0,2,1,3,0,3
2021,"Basic principles (Indicators) for assessing the technical and economic potential of developing arctic offshore oil and gas fields","Stroykov G., Vasilev Y.N., Zhukov O.V.",20771312,"Journal of Marine Science and Engineering",9, 12,0,0,0,0,0,0,1,1,2,0,2
2021,"Ensuring the sustainability of arctic industrial facilities under conditions of global climate change","Buslaev G., Tsvetkov P., Lavrik A., Kunshin A., Loseva E., Sidorov D.",20799276,"Resources",10, 12,0,0,0,0,0,0,6,3,9,0,9
2021,"An investigation into current sand control methodologies taking into account geomechanical, field and laboratory data analysis","Tananykhin D., Korolev M., Stecyuk I., Grigorev M.",20799276,"Resources",10, 12,0,0,0,0,0,0,2,1,3,0,3
2021,"Development of a weighted barite-free formate drilling mud for well construction under complicated conditions","Morenov V., Leusheva E., Liu T.",20734360,"Polymers",13, 24,0,0,0,0,0,0,5,0,5,0,5
2021,"Cathodoluminescence of diamond: Features of visualization","Vasilev E., Zedgenizov D., Zamyatin D., Klepikov I., Antonov A.",20734352,"Crystals",11, 12,0,0,0,0,0,0,0,1,1,0,1
2021,"Digital echelons and interfaces within value chains: End-to-end marketing and logistics integration","Barykin S.E., Smirnova E.A., Chzhao D., Kapustina I.V., Sergeev S.M., Mikhalchevsky Y.Y., Gubenko A.V., Kostin G.A., De La Poza Plaza E., Saychenko L., Moiseev N.",20711050,"Sustainability (Switzerland)",13, 24,0,0,0,0,0,0,3,4,7,0,7
2021,"Exploring of the incompatibility of marine residual fuel: A case study using machine learning methods","Sultanbekov R., Beloglazov I., Islamov S., Ong M.C.",19961073,"Energies",14, 24,0,0,0,0,0,0,20,4,24,0,24
2021,"Scenario modeling of sustainable development of energy supply in the arctic","Zhukovskiy Y., Tsvetkov P., Buldysko A., Malkova Y., Stoianova A., Koshenkova A.",20799276,"Resources",10, 12,0,0,0,0,0,1,23,0,24,0,24
2021,"Technology for improving the efficiency of fractured reservoir development using gel-forming compositions","Mardashov D., Duryagin V., Islamov S.",19961073,"Energies",14, 24,0,0,0,0,0,0,13,2,15,0,15
2021,"Method for evaluation of the utility’s and consumers’ contribution to the current and voltage distortions at the PCC","Shklyarskiy Y., Dobush I., Carrizosa M.J., Dobush V., Skamyin A.",19961073,"Energies",14, 24,0,0,0,0,0,0,3,0,3,0,3
2021,"Development of an algorithm for regulating the load schedule of educational institutions based on the forecast of electric consumption within the framework of application of the demand response","Zhukovskiy Y.L., Kovalchuk M.S., Batueva D.E., Senchilo N.D.",20711050,"Sustainability (Switzerland)",13, 24,0,0,0,0,0,0,5,0,5,0,5
2021,"Ion flotation of ytterbium water-salt systems—An innovative aspect of the modern industry","Lobacheva O.L.",20734441,"Water (Switzerland)",13, 24,0,0,0,0,0,0,2,1,3,0,3
2021,"Energy resources exploitation in the russian arctic: Challenges and prospects for the sustainable development of the ecosystem","Romasheva N., Dmitrieva D.",19961073,"Energies",14, 24,0,0,0,0,0,1,11,0,12,0,12
2021,"Optimization of x-ray tube voltage to improve the precision of two phase flow meters used in petroleum industry","Alanazi A.K., Alizadeh S.M., Nurgalieva K.S., Guerrero J.W.G., Abo-Dief H.M., Eftekhari-Zadeh E., Nazemi E., Narozhnyy I.M.",20711050,"Sustainability (Switzerland)",13, 24,0,0,0,0,0,0,1,1,2,0,2
2021,"Beam-plasma stabilizer for the new type of nuclear power energy systems","Mustafaev A., Grabovskiy A., Krizhanovich A., Sukhomlinov V.",20763417,"Applied Sciences (Switzerland)",11, 23,0,0,0,0,0,0,1,0,1,0,1
2021,"Accounting for interelement interferences in atomic emission spectroscopy: A nonlinear theory","Popova A.N., Sukhomlinov V.S., Mustafaev A.S.",20763417,"Applied Sciences (Switzerland)",11, 23,0,0,0,0,0,0,5,0,5,0,5
2021,"Research and development of metrological assurance elements for leeb hardness measurements","Syasko V., Nikazov A.",24115134,"Inventions",6, 4,0,0,0,0,0,0,0,0,0,0,0
2021,"A soft sensor for measuring the wear of an induction motor bearing by the park’s vector components of current and voltage","Koteleva N., Korolev N., Zhukovskiy Y., Baranov G.",14248220,"Sensors",21, 23,0,0,0,0,0,0,5,0,5,0,5
2021,"Flow modeling of high-viscosity fluids in pipeline infrastructure of oil and gas enterprises","Beloglazov I., Morenov V., Leusheva E.",11100621,"Egyptian Journal of Petroleum",30, 4,0,0,0,0,0,0,3,1,4,0,4
2021,"An analysis of voltage source inverter switches fault classification using short time fourier transform","Manap M., Nikolovski S., Skamyin A., Karim R., Sutikno T., Jopri M.H.",20888694,"International Journal of Power Electronics and Drive Systems",12, 4,0,0,0,0,0,0,0,2,2,0,2
2021,"Kinetic theory of monochromatic waves bunching in a low-voltage beam discharge in rare gases","Sukhomlinov V.S., Matveev R.J., Mustafaev A.S., Timofeev N.A.",05779073,"Chinese Journal of Physics",74, ,0,0,0,0,0,0,1,0,1,0,1
2021,"[Distribution of rare-earth elements in rock-forming minerals of corundum-bearing rocks of the Khitoostrov deposit (North Karelia), Распределение редкоземельных элементов в породообразующих минералах корундсодержащих пород проявления Хитоостров (Северная Карелия)]","Akimova E.Yu., Skublov S.G.",25419668,"Vestnik of Saint Petersburg University. Earth Sciences",66, 4,0,0,0,0,0,0,0,0,0,0,0
2021,"Technological assurance of the quality of processing of products from aluminum alloys with a complex geometric shape using magnetic abrasive processing","Maksimov D., Shcheglova R., Klochkov D.",25550403,"E3S Web of Conferences",326, ,0,0,0,0,0,0,0,0,0,0,0
2021,"Logistics model for selecting road sections of a mining enterprise for equipping them with automated traffic control tools","Afanasyev A., Egoshin A., Alekseev S.",25550403,"E3S Web of Conferences",326, ,0,0,0,0,0,0,0,0,0,0,0
2021,"Device for integrated diagnostics of mining machines triboelements","Gorlov I., Ivanov S., Knyazkina V., Iakupov D.",25550403,"E3S Web of Conferences",326, ,0,0,0,0,0,0,0,0,0,0,0
2021,"Bucket positioning and its load content during mining in inundated mineral deposit","Motyakov N., Iakupov D., Ivanova P., Ivanov S.",25550403,"E3S Web of Conferences",326, ,0,0,0,0,0,0,0,0,0,0,0
2021,"Investigation of Alardinskaya mine coal bumps causes using computer simulation of rock massif stress conditionals","Sidorenko A., Alekseev V., Sirenko Y.",25550403,"E3S Web of Conferences",326, ,0,0,0,0,0,0,0,0,0,0,0
2021,"Analysis of impact cam mechanisms from the point of view of the rationality of their use in drilling machines","Teplyakova A., Zhukov I.",25550403,"E3S Web of Conferences",326, ,0,0,0,0,0,0,0,0,0,0,0
2021,"Development of the properties of adaptability of the support sections of treatment complexes to variable mining and geological conditions","Teremetskaya V., Gabov V.",25550403,"E3S Web of Conferences",326, ,0,0,0,0,0,0,0,0,0,0,0
2021,"Numerical analysis of inter-panel pillars in the bump prone conditionals of the Alardinskaya mine","Sidorenko A., Alekseev V., Ivanov V.",25550403,"E3S Web of Conferences",326, ,0,0,0,0,0,0,0,0,0,0,0
2021,"Impact analysis of bucket capacity and boom length of mining excavators on hoisting mechanism life","Kuvshinkin S., Ivanova P.",25550403,"E3S Web of Conferences",326, ,0,0,0,0,0,0,0,0,0,0,0
2021,"Influence of the main operational factors on the working capacity of a mining hydraulic excavator","Agaguena A., Chishegorov D., Ivanov S., Mikhailov A.",25550403,"E3S Web of Conferences",326, ,0,0,0,0,0,0,0,0,0,0,0
2021,"Recording gear-type pump acoustic signals for assessing the hydraulic oil impurity level in a hydraulic excavator transmission","Ivanov S., Knyazkina V., Myakotnykh A.",25550403,"E3S Web of Conferences",326, ,0,0,0,0,0,0,0,0,0,0,0
2021,"Effect of electroosmosis to reduce the adhesion of lake sapropel to the metal surfaces of the machine for lake sapropel dewatering","Utenkova T., Kremcheev E., Nagornov D., Korotkova O.",25550403,"E3S Web of Conferences",326, ,0,0,0,0,0,0,1,0,1,0,1
2021,"Drill rig with a down-the-hole hammer for regulating the drilling rate by changing the air flow","Yungmeister D., Gasimov E.",25550403,"E3S Web of Conferences",326, ,0,0,0,0,0,0,0,0,0,0,0
2021,"De-emulsification performance and mechanism of β-CD reverse demulsifier for amphiphilic polymer oil in water (O/W) emulsion","Zhang M., Kang W., Yang H., Zhou B., Li Z., He Y., Grigory Yurievich K., Alexander Viktorovich L.",01677322,"Journal of Molecular Liquids",342, ,0,0,0,0,0,0,4,1,5,0,5
2021,"Structure and properties of modified gypsum binder","Yakovlev G.I., Gordina A., Drochytka R., Buryanov A.F., Smirnova O.",20466099,"Smart and Sustainable Built Environment",10, 4,0,0,0,0,0,0,0,1,1,0,1
2021,"Heat and mass transfer of multicomponent gas mixtures in cryogenic tank of automotive equipment","Didmanidze O.N., Afanasyev A.S., Khakimov R.T.",17426588,"Journal of Physics: Conference Series",2061, 1,0,0,0,0,0,0,0,0,0,0,0
2021,"Dependence of the equivalent circulation density of formate drilling fluids on the molecular mass of the polymer reagent","Leusheva E., Morenov V., Liu T.",19961073,"Energies",14, 22,0,0,0,0,0,0,2,1,3,0,3
2021,"Mining Complexity Assessment to Substantiate Deformation Monitoring at Open Pit Mines","Ponomarenko M.R., Kutepov Y.I.",10627391,"Journal of Mining Science",57, 6,0,0,0,0,0,0,1,0,1,0,1
2021,"New Copper–Precious Metal Occurrence in Gabbro of the Serebryansky Kamen Massif, Ural Platinum Belt, Northern Urals","Mikhailov V.V., Stepanov S.Y., Kozlov A.V., Petrov S.V., Palamarchuk R.S., Shilovskikh V.V., Abramova V.D.",10757015,"Geology of Ore Deposits",63, 6,0,0,0,0,0,0,1,0,1,0,1
2021,"The First Data on the U–Pb Ages and Compositions of Zircons from Ore-Bearing Syenites of Gora Rudnaya (South Yakutia)","Guzev V.E., Terekhov A.V., Skublov S.G., Leontiev V.I., Molchanov A.V.",18197140,"Russian Journal of Pacific Geology",15, 6,0,0,0,0,0,0,1,0,1,0,1
2021,"Sustainable development of oil and gas resources: A system of environmental, socio-economic, and innovation indicators","Cherepovitsyn A., Rutenko E., Solovyova V.",20771312,"Journal of Marine Science and Engineering",9, 11,0,0,0,0,0,1,6,1,8,0,8
2021,"Experimental determination of parameters of nonlinear electrical load","Skamyin A., Shklyarskiy Y., Dobush V., Dobush I.",19961073,"Energies",14, 22,0,0,0,0,0,0,3,0,3,0,3
2021,"Tariff approach to regulation of the European gas transportation system: Case of Nord Stream","Fetisov V., Tcvetkov P., Muller J.",23524847,"Energy Reports",7, ,0,0,0,0,0,1,5,0,6,0,6
2021,"Digitalization in open-pit mining: A new approach in monitoring and control of rock fragmentation","Koteleva N., Khokhlov S., Frenkel I.",20763417,"Applied Sciences (Switzerland)",11, 22,0,0,0,0,0,0,4,1,5,0,5
2021,"A simulator for educating the digital technologies skills in industry. Part one. dynamic simulation of technological processes","Koteleva N., Kuznetsov V., Vasilyeva N.",20763417,"Applied Sciences (Switzerland)",11, 22,0,0,0,0,0,0,5,2,7,0,7
2021,"The demographic factor impact on the economics of the arctic region","Gerasimova I.G., Oblova I.S., Golovina E.I.",20799276,"Resources",10, 11,0,0,0,0,0,0,2,1,3,0,3
2021,"Influence of asphaltenes on the low-sulphur residual marine fuels’ stability","Smyshlyaeva K.I., Rudko V.A., Povarov V.G., Shaidulina A.A., Efimov I., Gabdulkhakov R.R., Pyagay I.N., Speight J.G.",20771312,"Journal of Marine Science and Engineering",9, 11,0,0,0,0,0,0,11,4,15,0,15
2021,"Microstructural master alloys features of aluminum–erbium system","Savchenkov S., Kosov Y., Bazhin V., Krylov K., Kawalla R.",20734352,"Crystals",11, 11,0,0,0,0,0,1,10,2,13,0,13
2021,"Operational analysis and medium-term forecasting of the greenhouse gas generation intensity in the cryolithozone","Timofeev A.V., Piirainen V.Y., Bazhin V.Y., Titov A.B.",20734433,"Atmosphere",12, 11,0,0,0,0,0,1,0,0,1,0,1
2021,"Modeling the size of protection zones of cultural heritage sites based on factors of the historical and cultural assessment of lands","Bykowa E., Dyachkova I.",2073445X,"Land",10, 11,0,0,0,0,0,0,3,0,3,0,3
2021,"Application of the organic waste-based sorbent for the purification of aqueous solutions","Cheremisina O., Litvinova T., Sergeev V., Ponomareva M., Mashukova J.",20734441,"Water (Switzerland)",13, 21,0,0,0,0,0,0,3,1,4,0,4
2021,"Sustainable management of transboundary groundwater resources: Past and future","Golovina E., Pasternak S., Tsiglianu P., Tselischev N.",20711050,"Sustainability (Switzerland)",13, 21,0,0,0,0,0,0,4,4,8,0,8
2021,"The kinetic aspects of the dissolution of slightly soluble lanthanoid carbonates","Litvinova T., Kashurin R., Zhadovskiy I., Gerasev S.",20754701,"Metals",11, 11,0,0,0,0,0,0,2,1,3,0,3
2021,"Method for determining the optimal capacity of energy storage systems with a long-term forecast of power consumption","Senchilo N.D., Ustinov D.A.",19961073,"Energies",14, 21,0,0,0,0,0,0,9,0,9,0,9
2021,"Improvement of working conditions of mining workers by reducing nitrogen oxide emissions during blasting operations","Rudakov M., Babkin R., Medova E.",20763417,"Applied Sciences (Switzerland)",11, 21,0,0,0,0,0,0,2,0,2,0,2
2021,"Coal mines in vietnam: Geological conditions and their influence on production sustainability indicators","Que C.T., Nevskaya M., Marinina O.",20711050,"Sustainability (Switzerland)",13, 21,0,0,0,0,0,0,5,0,5,0,5
2021,"Cyanobacterial communities of carbonate sediments and biomineralization in peterhof fountains’ water supply system, russia","Rodina O.A., Vereshchagin O.S., Vlasov D.Yu., Zelenskaya M.S., Pankin D.V., Mitrofanov N.V., Nikitin M.Yu., Vasileva K.Yu., Frank-Kamenetskaya O.V.",2075163X,"Minerals",11, 11,0,0,0,0,0,0,1,0,1,0,1
2021,"A laboratory approach to measure enhanced gas recovery from a tight gas reservoir during supercritical carbon dioxide injection","Syah R., Alizadeh S.M., Nurgalieva K.S., Guerrero J.W.G., Nasution M.K.M., Davarpanah A., Ramdan D., Metwally A.S.M.",20711050,"Sustainability (Switzerland)",13, 21,0,0,0,0,0,1,3,3,7,0,7
2021,"Early ordovician age of fluorite-rare-metal deposits at the voznesensky ore district (Far east, russia): Evidence from zircon and cassiterite u–pb and fluorite sm–nd dating results","Rizvanova N.G., Alenicheva A.A., Skublov S.G., Sergeev S.A., Lykhin D.A.",2075163X,"Minerals",11, 11,0,0,0,0,0,0,1,0,1,0,1
2021,"The influence of technological changes in energy efficiency on the infrastructure deterioration in the energy sector","Shabalov M.Y., Zhukovskiy Y.L., Buldysko A.D., Gil B., Starshaia V.V.",23524847,"Energy Reports",7, ,0,0,0,0,0,5,24,3,32,0,32
2021,"A laboratory approach to enhance oil recovery factor in a low permeable reservoir by active carbonated water injection","Chen X., Paprouschi A., Elveny M., Podoprigora D., Korobov G.",23524847,"Energy Reports",7, ,0,0,0,0,0,1,3,0,4,0,4
2021,"Multi-criteria decision making approaches to select appropriate enhanced oil recovery techniques in petroleum industries","Wei Z., Zhu S., Dai X., Wang X., Yapanto L.M., Raupov I.R.",23524847,"Energy Reports",7, ,0,0,0,0,0,1,6,3,10,0,10
2021,"Polymer-Nanosilica-assisted to evaluate oil recovery performances in sandstone reservoirs","Fan G., Li M., Chen X., Palyanitsina A., Timoshin A.",23524847,"Energy Reports",7, ,0,0,0,0,0,0,6,2,8,0,8
2021,"Implementation of water treatment processes to optimize the water saving in chemically enhanced oil recovery and hydraulic fracturing methods","Zhang C., Long X., Tang X., Lekomtsev A., Korobov G.Y.",23524847,"Energy Reports",7, ,0,0,0,0,0,1,1,1,3,0,3
2021,"A laboratory approach on the improvement of oil recovery and carbon dioxide storage capacity improvement by cyclic carbon dioxide injection","Guo Q., Ahmadi M.H., Lahafdoozian M., Palyanitsina A., Kuzichkin O.R., Alizadeh S.M., Nassabeh S.M.M.",23524847,"Energy Reports",7, ,0,0,0,0,0,0,2,0,2,0,2
2021,"Laboratory evaluation of hybrid chemical enhanced oil recovery methods coupled with carbon dioxide","Ahmadi M.H., Alizadeh S.M., Tananykhin D., Hadi S.K., Iliushin P., Lekomtsev A.",23524847,"Energy Reports",7, ,0,0,0,0,0,0,2,1,3,0,3
2021,"Utilization of sewage sludge as an ameliorant for reclamation of technogenically disturbed lands","Petrova T.А., Rudzisha E.",24113336,"Journal of Mining Institute",251, ,0,0,0,0,0,0,0,1,1,0,1
2021,"Prospects for the oil and gas content of the Upper Permian deposits of the southwestern part of the Vilyui syneclise based on the analysis of sedimentary environments and geochemical conditions of oil and gas content","Cherdantsev G.A., Zharkov A.M.",24113336,"Journal of Mining Institute",251, ,0,0,0,0,0,0,0,0,0,0,0
2021,"Modeling the acid treatment of a polymictic reservoir","Khasanov М., Maltcev A.А.",24113336,"Journal of Mining Institute",251, 3,0,0,0,0,0,0,0,0,0,0,0
2021,"Indicator role of rare and rare-earth elements of the Northwest manganese ore occurrence (South Africa) in the genetic model of supergene manganese deposits","Evdokimov A.N., Pharoe B.L.",24113336,"Journal of Mining Institute",252, 6,0,0,0,0,0,0,0,0,0,0,0
2021,"Natural gas methane number and its influence on the gas engine working process efficiency","Didmanidze O.N., Afanasev A.S., Hakimov R.T.",24113336,"Journal of Mining Institute",251, 3,0,0,0,0,0,0,0,0,0,0,0
2021,"Development of the concept of an innovative laboratory installation for the study of dust-forming surfaces","Ivanov A.V., Smirnov Y.D., Chupin S.A.",24113336,"Journal of Mining Institute",251, 3,0,0,0,0,0,0,4,0,4,0,4
2021,"Study on hydrometallurgical recovery of copper and rhenium in processing of substandard copper concentrates","Lutskiy D.S., Ignatovich A.S.",24113336,"Journal of Mining Institute",251, 3,0,0,0,0,0,0,1,2,3,0,3
2021,"Dissolution kinetics of rare earth metal phosphates in carbonate solutions of alkali metals","Litvinova T.E., Oleynik I.L.",24113336,"Journal of Mining Institute",251, 3,0,0,0,0,0,0,2,0,2,0,2
2021,"Development of blocking compositions with a bridging agent for oil well killing in conditions of abnormally low formation pressure and carbonate reservoir rocks","Mardashov D.V.",24113336,"Journal of Mining Institute",251, 3,0,0,0,0,0,0,5,4,9,0,9
2021,"Phytoplankton composition of the mangrove ecosystem in Khanh Hoa province, Vietnam","Lan N.T., Kovyazin V.F., Huan P.T.",17551307,"IOP Conference Series: Earth and Environmental Science",876, 1,0,0,0,0,0,0,1,0,1,0,1
2021,"Provision of green spaces in urbanized areas of St. Petersburg","Kovyazin V., Gureva O., Skachkova M., Shubina M.",17551307,"IOP Conference Series: Earth and Environmental Science",876, 1,0,0,0,0,0,0,0,0,0,0,0
2021,"Thermal performance of an accumulator unit using phase change material with a fixed volume of fins","Amer A.E., Elsakka M.M., Lebedev V.A.",0363907X,"International Journal of Energy Research",45, 13,0,0,0,0,0,0,4,0,4,0,4
2021,"Study of the efficiency of data preprocessing in multispectral devices for detecting oil spills","Shpenst V.A.",17551307,"IOP Conference Series: Earth and Environmental Science",867, 1,0,0,0,0,0,0,0,0,0,0,0
2021,"Ecological monitoring of air condition in smart cities according to conception of ""internet of Things""","Shamaitis A.S., Nagornov D.O.",17551307,"IOP Conference Series: Earth and Environmental Science",867, 1,0,0,0,0,0,0,0,0,0,0,0
2021,"Aspects of excavated peat compacting in quarry","Mikhailov A.V., Korotkova O.Y., Gromyka D.S.",17551307,"IOP Conference Series: Earth and Environmental Science",867, 1,0,0,0,0,0,0,0,0,0,0,0
2021,"Some aspects of the problem of energy efficiency and energy saving in Russia","Nikiforov A.A., Nikiforova V.D., Khaikin M.M.",25550403,"E3S Web of Conferences",311, ,0,0,0,0,0,0,0,0,0,0,0
2021,"Simulation of induction heating of a ferromagnetic plate with a covering inductor","Khorshev A., Bondar A., Streltsova O., Chmileno F., Rastvorova I.",17426588,"Journal of Physics: Conference Series",2032, 1,0,0,0,0,0,0,1,0,1,0,1
2021,"Approximation by Entire Functions on a Countable Set of Continua. The Inverse Theorem","Silvanovich O.V., Shirokov N.A.",10634541,"Vestnik St. Petersburg University: Mathematics",54, 4,0,0,0,0,0,0,0,0,0,0,0
2021,"Modern trends in the field of solving transboundary problems in groundwater extraction","Golovina E., Karennik K.",20799276,"Resources",10, 10,0,0,0,0,0,0,2,1,3,0,3
2021,"Dynamic Stabilization in Reaming Internal Surfaces of Welded Components","Maksarov V.V., Vasin S.A., Efimov A.E.",1068798X,"Russian Engineering Research",41, 10,0,0,0,0,0,0,1,0,1,0,1
2021,"Corundum with Inclusions of Extremely Reduced Minerals from Explosive Rocks of the Ukrainian Shield","Yatsenko I.G., Galankina O.L., Marin Y.B., Skublov S.G.",1028334X,"Doklady Earth Sciences",500, 2,0,0,0,0,0,0,1,0,1,0,1
2021,"Improving Internal Threaded Surfaces in Highly Loaded Components","Maksarov V.V., Vasin S.A., Keksin A.I.",1068798X,"Russian Engineering Research",41, 10,0,0,0,0,0,0,0,0,0,0,0
2021,"Improving the efficiency of oil and gas wells complicated by the formation of asphalt-resin-paraffin deposits","Nurgalieva K.S., Saychenko L.A., Riazi M.",19961073,"Energies",14, 20,0,0,0,0,0,1,9,3,13,0,13
2021,"Reduction of gas and aerosol pollution of atmospheric air at a condensate stabilization units","Ivanov A.V., Strizhenok A.V., Vorobey R.Y.",17551307,"IOP Conference Series: Earth and Environmental Science",839, 4,0,0,0,0,0,0,0,0,0,0,0
2021,"Identification of the technical condition of induction motor groups by the total energy flow","Koteleva N.I., Korolev N.A., Zhukovskiy Y.L.",19961073,"Energies",14, 20,0,0,0,0,0,0,2,0,2,0,2
